No,HID_DIM,ENC_LAYERS/DEC_LAYERS,ENC_HEADS/DEC_HEADS,PF,PF_ACT,ENC_PF_DIM/DEC_PF_DIM,TE_TYPE,ENC_DROPOUT/DEC_DROPOUT,Time,Parameters,val_loss,val_PLL,BLEU
239,256,6,4,FALSE,,1024,1,0.2,9m5s,14115654,5.72,304.13,0
240,512,6,4,FALSE,,1024,1,0.2,18m17s,37652038,5.53,253.26,0
241,256,3,8,FALSE,,2048,0,0.1,5m33s,11737926,2.54,12.62,16.78
242,512,3,8,FALSE,,2048,0,0.1,10m11s,28177990,2.82,16.86,15.98
243,256,6,8,FALSE,,2048,0,0.1,9m52s,20419398,2.89,18.03,2.09
244,512,6,8,FALSE,,2048,0,0.1,18m40s,50247238,6.54,690.62,0
245,256,3,4,FALSE,,2048,0,0.1,5m6s,11737926,2.49,12.01,18.7
246,512,3,4,FALSE,,2048,0,0.1,10m2s,28177990,2.8,16.42,12.46
247,256,6,4,FALSE,,2048,0,0.1,9m8s,20419398,3.16,23.66,0.51
248,512,6,4,FALSE,,2048,0,0.1,18m22s,50247238,5.92,372.93,0
249,256,3,8,FALSE,,2048,1,0.1,5m26s,11737926,2.42,11.26,17.61
250,512,3,8,FALSE,,2048,1,0.1,10m12s,28177990,2.7,14.86,17.18
251,256,6,8,FALSE,,2048,1,0.1,10m2s,20419398,3.69,40.06,0
252,512,6,8,FALSE,,2048,1,0.1,18m38s,50247238,7.16,1286.77,0
253,256,3,4,FALSE,,2048,1,0.1,5m8s,11737926,2.48,11.88,16.61
254,512,3,4,FALSE,,2048,1,0.1,10m1s,28177990,2.73,15.29,14.14
255,256,6,4,FALSE,,2048,1,0.1,8m59s,20419398,5.34,208.75,0
256,512,6,4,FALSE,,2048,1,0.1,18m20s,50247238,6.12,453.92,0
257,256,3,8,FALSE,,2048,0,0,12m13s,11737926,2.94,18.88,16.48
258,512,3,8,FALSE,,2048,0,0,13m2s,28177990,2.87,17.6,14.96
259,256,6,8,FALSE,,2048,0,0,9m55s,20419398,3.13,22.97,2.4
260,512,6,8,FALSE,,2048,0,0,18m43s,50247238,3.42,30.46,0
261,256,3,4,FALSE,,2048,0,0,5m2s,11737926,2.96,19.29,15.4
262,512,3,4,FALSE,,2048,0,0,10m2s,28177990,2.87,17.59,13.74
263,256,6,4,FALSE,,2048,0,0,9m3s,20419398,3.37,29.21,4.37
264,512,6,4,FALSE,,2048,0,0,18m30s,50247238,3.78,43.78,0
265,256,3,8,FALSE,,2048,1,0,5m27s,11737926,3.12,22.67,12.47
266,512,3,8,FALSE,,2048,1,0,10m10s,28177990,3.09,22.06,9.18
267,256,6,8,FALSE,,2048,1,0,9m52s,20419398,3.54,34.48,1.14
268,512,6,8,FALSE,,2048,1,0,18m43s,50247238,5.19,178.68,0
269,256,3,4,FALSE,,2048,1,0,5m3s,11737926,3.2,24.42,10.39
270,512,3,4,FALSE,,2048,1,0,10m1s,28177990,3.25,25.67,12.42
271,256,6,4,FALSE,,2048,1,0,9m4s,20419398,3.98,53.43,0
272,512,6,4,FALSE,,2048,1,0,18m24s,50247238,5,148.07,0
273,256,3,8,FALSE,,2048,0,0.2,5m36s,11737926,2.3,10.01,18.02
274,512,3,8,FALSE,,2048,0,0.2,10m18s,28177990,2.65,14.21,12.29
275,256,6,8,FALSE,,2048,0,0.2,9m58s,20419398,3.06,21.28,0.5
276,512,6,8,FALSE,,2048,0,0.2,18m57s,50247238,6.85,945.05,0
277,256,3,4,FALSE,,2048,0,0.2,5m7s,11737926,2.28,9.8,17.3
278,512,3,4,FALSE,,2048,0,0.2,10m11s,28177990,2.6,13.45,10.22
279,256,6,4,FALSE,,2048,0,0.2,9m9s,20419398,3.17,23.76,0.18
280,512,6,4,FALSE,,2048,0,0.2,18m39s,50247238,6.67,785.43,0
281,256,3,8,FALSE,,2048,1,0.2,5m37s,11737926,2.23,9.33,17.21
282,512,3,8,FALSE,,2048,1,0.2,10m19s,28177990,2.66,14.24,12.43
283,256,6,8,FALSE,,2048,1,0.2,10m2s,20419398,4.02,55.44,0
284,512,6,8,FALSE,,2048,1,0.2,19m1s,50247238,6.95,1040.64,0
285,256,3,4,FALSE,,2048,1,0.2,5m8s,11737926,2.36,10.55,16.3
286,512,3,4,FALSE,,2048,1,0.2,10m8s,28177990,2.68,14.62,14.83
287,256,6,4,FALSE,,2048,1,0.2,9m10s,20419398,5.12,167.17,0
288,512,6,4,FALSE,,2048,1,0.2,18m38s,50247238,5.79,327.0130244,0
289,256,6,8,TRUE,,1024,0,0.1,14m30s,14115654,5.16,174.9,0
290,512,3,8,TRUE,,1024,0,0.1,13m45s,21880390,3.36,28.69,3.69
291,256,3,8,TRUE,,1024,0,0.1,7m54s,8586054,2.74,15.45,14.41
292,512,6,8,TRUE,,1024,0,0.1,25m38s,37652038,5.18,178.2,0
293,256,3,4,TRUE,,1024,0,0.1,7m22s,8586054,2.7,14.86,14.68
294,512,3,4,TRUE,,1024,0,0.1,13m33s,21880390,3.26,25.93,1.93
295,256,6,4,TRUE,,1024,0,0.1,13m38s,14115654,5.16,174.53,0
296,512,6,4,TRUE,,1024,0,0.1,25m24s,37652038,5.17,175.77,0
297,256,3,8,TRUE,,1024,1,0.1,7m48s,8586054,4.3,73.76,0.09
298,512,3,8,TRUE,,1024,1,0.1,13m41s,21880390,4.62,101.31,0
299,256,6,8,TRUE,,1024,1,0.1,14m25s,14115654,7.7,2210.75,0
